old_path,new_path,type,title
/product-category/small-appliances/,/category/small-appliances/,category,Small Appliances
/product-category/small-double/,/category/small-double/,category,Small double
/product-category/smarthome/,/category/smarthome/,category,Smarthome
/product-category/smartphones/,/category/smartphones/,category,Smartphones
/product-category/sofas/,/category/sofas/,category,Sofas
/product-category/super-king-bedroom-2/,/category/bedroom-super-king/,category,Super king
/product-category/super-king/,/category/bedroom-furniture-super-king/,category,Super king
/product-category/tablets/,/category/tablets/,category,Tablets
/product-category/technology/,/category/technology/,category,Technology
/product-category/telephones/,/category/telephones/,category,Telephones
/product-category/tumble-dryer/,/category/tumble-dryer/,category,Tumble Dryer
/product-category/tv-and-audio/,/category/tvs-and-audio/,category,TVs & Audio
/product-category/tv-units-living-room/,/category/living-room-tv-units/,category,TV UNITS
/product-category/tv-units/,/category/living-tv-units/,category,TV UNITS
/product-category/tvs/,/category/tvs/,category,TVs
/product-category/undercounter/,/category/undercounter/,category,Undercounter
/product-category/vacuum/,/category/vacuum/,category,Vacuum
/product-category/washer-dryer/,/category/washer-dryer/,category,Washer Dryer
/product-category/washing/,/category/home-appliances-washing-machines/,category,Washing Machines
/product-category/washing-machines/,/category/laundry-washing-machines/,category,Washing Machines
/product-category/watches/,/category/watches/,category,Watches
/product-category/smartwatches/,/category/smartwatches/,category,Smartwatches
/product-category/baby-monitors/,/category/baby-monitors/,category,Baby Monitors
/product-category/larder-fridges/,/category/larder-fridges/,category,Larder Fridges
