slug,image,credit
telephones,/assets/cat-telephones.jpg,Wikimedia Commons (CC0) — Ahmad Ali Karim
mobile-phones,/assets/cat-telephones.jpg,Wikimedia Commons (CC0) — Ahmad Ali Karim
